Date,Product,Region,Units_Sold,Unit Price,Revenue
2024-01-01,Printer,Unknown,N/A,,
2024-01-01,Printer,West,,free,
2024-01-01,Tablet,Unknown,15,313.22,4698.3
2024-01-02,Monitor,Unknown,N/A,747.05,
2024-01-02,,North,,,
2024-01-02,,South,N/A,243.96,
2024-01-02,Printer,Unknown,,991.98,
2024-01-02,,West,6,,
2024-01-03,Monitor,Unknown,N/A,free,
2024-01-03,Printer,South,N/A,free,
2024-01-03,,Unknown,N/A,free,
2024-01-04,,Unknown,,free,
2024-01-04,Tablet,Unknown,,free,
2024-01-04,Printer,Unknown,8,,
2024-01-05,Laptop,East,,,
2024-01-05,Monitor,South,,free,
2024-01-06,Printer,Unknown,,,
2024-01-06,Tablet,West,,345.73,
2024-01-06,Tablet,South,N/A,,
2024-01-06,Printer,Unknown,,,
2024-01-07,Printer,East,N/A,263.4,
2024-01-07,Laptop,West,,,
2024-01-07,Printer,Unknown,18,,
2024-01-07,Printer,South,N/A,free,
2024-01-07,Tablet,Unknown,N/A,,
2024-01-08,Tablet,North,5,213.03,1065.15
2024-01-08,Printer,East,,969.58,
2024-01-09,,East,,,
2024-01-09,,East,N/A,,
2024-01-09,Printer,North,N/A,,
2024-01-09,,West,,,
2024-01-09,,South,,329.61,
2024-01-10,Smartphone,West,N/A,,
2024-01-11,,West,N/A,,
2024-01-11,Printer,East,,free,
2024-01-12,,Unknown,5,,
2024-01-12,,North,,free,
2024-01-12,Laptop,South,14,,
2024-01-13,Laptop,Unknown,,,
2024-01-14,,Unknown,N/A,,
2024-01-14,Laptop,Unknown,N/A,522.5,
2024-01-14,Monitor,West,,free,
2024-01-14,Smartphone,North,14,,
2024-01-15,Smartphone,Unknown,16,,
2024-01-15,Printer,Unknown,N/A,,
2024-01-15,Smartphone,West,17,,
2024-01-15,Monitor,Unknown,4,,
2024-01-16,,Unknown,,,
2024-01-16,,Unknown,,free,
2024-01-16,Printer,South,,,
2024-01-16,,East,,287.75,
2024-01-17,Smartphone,Unknown,,,
2024-01-17,Monitor,West,,399.95,
2024-01-17,,Unknown,,free,
2024-01-17,,West,3,,
2024-01-18,Printer,East,,,
2024-01-18,,West,11,free,
2024-01-18,,Unknown,,203.94,
2024-01-18,,Unknown,,,
2024-01-18,Tablet,Unknown,N/A,,
2024-01-19,Printer,North,,109.47,
2024-01-19,,East,9,437.66,3938.94
2024-01-19,Smartphone,Unknown,,free,
2024-01-19,Printer,Unknown,N/A,free,
2024-01-19,,South,N/A,234.0,
2024-01-20,Monitor,South,,273.46,
2024-01-20,Printer,Unknown,,,
2024-01-20,,South,,581.09,
2024-01-20,,West,,,
2024-01-21,Smartphone,Unknown,,238.38,
2024-01-21,Monitor,Unknown,14,549.9,7698.599999999999
2024-01-21,Smartphone,West,N/A,692.6,
2024-01-21,Laptop,East,7,free,
2024-01-21,,North,,free,
2024-01-22,,North,,,
2024-01-22,Tablet,South,N/A,,
2024-01-22,,West,,,
2024-01-23,Laptop,West,,,
2024-01-23,Laptop,East,,684.45,
2024-01-23,Smartphone,East,N/A,free,
2024-01-23,Tablet,Unknown,,free,
2024-01-23,Printer,East,,free,
2024-01-24,,East,N/A,,
2024-01-24,Monitor,West,17,free,
2024-01-24,Smartphone,East,,free,
2024-01-24,Tablet,South,N/A,583.8,
2024-01-25,Monitor,South,N/A,238.38,
2024-01-25,Tablet,South,N/A,,
2024-01-25,Tablet,North,N/A,free,
2024-01-26,,East,,,
2024-01-26,Smartphone,North,,,
2024-01-26,Tablet,West,,,
2024-01-27,Smartphone,East,,free,
2024-01-27,,South,N/A,974.12,
2024-01-27,Laptop,West,9,,
2024-01-27,Printer,Unknown,13,,
