date,product,region,units_sold,unit_price,revenue,total_revenue
2024-01-01,Tablet,Unknown,15.0,313.22,4698.3,4698.3
2024-01-08,Tablet,North,5.0,213.03,1065.15,1065.15
2024-01-21,Monitor,Unknown,14.0,549.9,7698.599999999999,7698.599999999999
2024-01-31,Monitor,Unknown,16.0,470.98,7535.68,7535.68
2024-02-13,Printer,South,17.0,322.76,5486.92,5486.92
2024-02-27,Laptop,Unknown,8.0,158.91,1271.28,1271.28
2024-02-27,Monitor,East,4.0,854.98,3419.92,3419.92
2024-03-02,Tablet,Unknown,16.0,417.83,6685.28,6685.28
2024-03-02,Printer,North,15.0,455.03,6825.45,6825.45
2024-03-05,Laptop,North,18.0,295.54,5319.72,5319.72
2024-03-07,Printer,South,9.0,656.85,5911.650000000001,5911.650000000001
2024-03-10,Tablet,East,18.0,243.16,4376.88,4376.88
2024-03-23,Printer,West,4.0,466.12,1864.48,1864.48
2024-04-26,Printer,Unknown,17.0,407.9,6934.299999999999,6934.299999999999
2024-05-06,Laptop,South,8.0,632.43,5059.44,5059.44
2024-05-27,Tablet,North,14.0,977.55,13685.7,13685.699999999999
2024-06-08,Monitor,South,7.0,832.48,5827.360000000001,5827.360000000001
